id,画像名,物件名,車番,地域名,分類番号,ひらがな,入出庫日,カテゴリ,幅,高さ,左上x座標,左上y座標,右下x座標,右下y座標
258768,30039_20190914134136.jpg,イトーヨーカドー大井町,*516,品川,339.0,つ,2019-09-14 13:41:10,2-1_all_corrected,66,64,180,149,246,213
260156,30169_20190914191305.jpg,イオン相模原ショッピングセンター,9366,相模,301.0,ぬ,2019-09-14 19:12:03,2-1_all_corrected,55,43,121,104,176,147
259676,30110_20190914174947.jpg,イオン金沢八景,3062,土浦,580.0,ほ,2019-09-14 17:49:21,2-1_all_corrected,74,58,360,188,434,246
258596,30060_20190914124836.jpg,関西スーパー小野原,5858,大阪,339.0,ふ,2019-09-14 12:48:13,2-1_all_corrected,77,66,506,235,583,301
260363,30169_20190914201807.jpg,イオン相模原ショッピングセンター,9882,多摩,300.0,る,2019-09-14 20:17:49,2-1_all_corrected,49,40,250,169,299,209
260355,30145_20190914201158.jpg,イオン高根木戸,**55,習志野,382.0,り,2019-09-14 20:11:41,2-1_all_corrected,54,45,231,151,285,196
258137,30115_20190914094443.jpg,イオン南行徳（平面）,6429,湘南,501.0,ほ,2019-09-14 09:44:26,2-1_all_corrected,84,68,377,170,461,238
258795,30139_20190914135047.jpg,イオン板橋ショッピングセンター,1910,川口,480.0,り,2019-09-14 13:50:19,2-1_all_corrected,68,58,216,191,284,249
259011,30144_20190914145805.jpg,イオン幕張,*310,千葉,554.0,て,2019-09-14 14:57:40,2-1_all_corrected,48,31,167,79,215,110
260160,30169_20190914191439.jpg,イオン相模原ショッピングセンター,4277,相模,300.0,は,2019-09-14 19:14:09,2-1_all_corrected,80,67,423,274,503,341
259283,30169_20190914161759.jpg,イオン相模原ショッピングセンター,9161,群馬,530.0,つ,2019-09-14 16:17:26,2-1_all_corrected,82,66,294,103,376,169
259277,30072_20190914161733.jpg,関西スーパー京阪大和田１F,4921,大阪,503.0,む,2019-09-14 16:16:44,2-1_all_corrected,104,85,168,352,272,437
259270,30139_20190914161422.jpg,イオン板橋ショッピングセンター,3900,練馬,480.0,れ,2019-09-14 16:13:54,2-1_all_corrected,72,54,283,283,355,337
258190,30072_20190914100528.jpg,関西スーパー京阪大和田１F,4150,なにわ,330.0,た,2019-09-14 10:05:02,2-1_all_corrected,76,62,0,258,76,320
259042,30091_20190914150847.jpg,イトーヨーカドー木場 立体,***8,足立,30.0,み,2019-09-14 15:08:20,2-1_all_corrected,51,38,282,37,333,75
259426,30169_20190914165054.jpg,イオン相模原ショッピングセンター,5132,多摩,530.0,は,2019-09-14 16:50:30,2-1_all_corrected,73,56,118,116,191,172
258500,30045_20190914121057.jpg,マックスバリュー徳川明倫,***8,名古屋,30.0,ろ,2019-09-14 12:10:22,2-1_all_corrected,62,57,165,152,227,209
260337,30111_20190914200728.jpg,イオン稲毛,8994,札幌,581.0,あ,2019-09-14 20:06:55,2-1_all_corrected,54,42,154,161,208,203
258358,30169_20190914111842.jpg,イオン相模原ショッピングセンター,3967,多摩,480.0,れ,2019-09-14 11:18:07,2-1_all_corrected,46,34,313,169,359,203
258367,30139_20190914112303.jpg,イオン板橋ショッピングセンター,2525,練馬,559.0,み,2019-09-14 11:22:35,2-1_all_corrected,83,60,273,283,356,343
259241,30167_20190914160838.jpg,イオン東雲店,1621,足立,530.0,に,2019-09-14 16:08:02,2-1_all_corrected,89,67,241,274,330,341
259417,30045_20190914164830.jpg,マックスバリュー徳川明倫,2525,名古屋,31.0,そ,2019-09-14 16:47:54,2-1_all_corrected,69,57,249,207,318,264
259010,30145_20190914145752.jpg,イオン高根木戸,3355,習志野,536.0,つ,2019-09-14 14:57:26,2-1_all_corrected,70,60,361,146,431,206
259222,30045_20190914160613.jpg,マックスバリュー徳川明倫,***7,名古屋,30.0,て,2019-09-14 16:05:49,2-1_all_corrected,51,39,238,129,289,168
258304,30169_20190914105951.jpg,イオン相模原ショッピングセンター,3967,多摩,480.0,れ,2019-09-14 10:59:24,2-1_all_corrected,50,41,255,208,305,249
258760,30115_20190914133909.jpg,イオン南行徳（平面）,*611,習志野,580.0,は,2019-09-14 13:38:25,2-1_all_corrected,87,73,471,330,558,403
258599,30051_20190914124957.jpg,スエヒロ館新百合ヶ丘,***1,多摩,30.0,ら,2019-09-14 12:49:30,2-1_all_corrected,50,37,189,175,239,212
260195,30167_20190914192301.jpg,イオン東雲店,3615,成田,480.0,え,2019-09-14 19:22:31,2-1_all_corrected,92,70,155,380,247,450
258555,30085_20190914123449.jpg,業務スーパー南津守,***1,なにわ,30.0,せ,2019-09-14 12:34:28,2-1_all_corrected,59,42,176,265,235,307
259473,30136_20190914170125.jpg,イオンスタイル新百合ヶ丘,**33,川崎,358.0,て,2019-09-14 17:00:58,2-1_all_corrected,76,60,6,220,82,280
258932,30060_20190914143412.jpg,関西スーパー小野原,8888,大阪,30.0,せ,2019-09-14 14:33:46,2-1_all_corrected,68,70,531,215,599,285
260192,30169_20190914192207.jpg,イオン相模原ショッピングセンター,1173,相模,344.0,つ,2019-09-14 19:21:26,2-1_all_corrected,72,66,420,233,492,299
260354,30167_20190914201149.jpg,イオン東雲店,*623,足立,483.0,あ,2019-09-14 20:11:16,2-1_all_corrected,49,39,295,140,344,179
258563,30001_20190914123742.jpg,関西スーパー高石駅前,6028,堺,330.0,す,2019-09-14 12:37:19,2-1_all_corrected,72,53,431,94,503,147
259445,30046_20190914165522.jpg,マミーマート船橋日大[地上],***1,習志野,591.0,ひ,2019-09-14 16:54:50,2-1_all_corrected,55,47,326,130,381,177
260396,30167_20190914202931.jpg,イオン東雲店,1202,品川,346.0,の,2019-09-14 20:28:54,2-1_all_corrected,96,71,86,318,182,389
260150,30144_20190914191053.jpg,イオン幕張,7287,千葉,302.0,と,2019-09-14 19:10:31,2-1_all_corrected,59,39,234,128,293,167
260391,30079_20190914202823.jpg,ピットデザイン仙台卸町駅前駐車場,*333,仙台,581.0,に,2019-09-14 20:27:50,2-1_all_corrected,88,78,13,329,101,407
259624,30167_20190914173354.jpg,イオン東雲店,8358,千葉,500.0,ま,2019-09-14 17:33:20,2-1_all_corrected,45,33,388,112,433,145
258702,30110_20190914132431.jpg,イオン金沢八景,1088,横浜,532.0,は,2019-09-14 13:24:08,2-1_all_corrected,49,41,496,104,545,145
259086,30145_20190914152433.jpg,イオン高根木戸,9345,習志野,53.0,ね,2019-09-14 15:24:09,2-1_all_corrected,51,39,145,203,196,242
258361,30106_20190914112110.jpg,ジョーシン東大阪長田,**55,なにわ,31.0,ら,2019-09-14 11:20:38,2-1_all_corrected,69,54,185,143,254,197
258705,30115_20190914132514.jpg,イオン南行徳（平面）,*402,足立,502.0,な,2019-09-14 13:24:07,2-1_all_corrected,75,67,478,301,553,368
259411,30111_20190914164724.jpg,イオン稲毛,8343,千葉,503.0,ち,2019-09-14 16:43:40,2-1_all_corrected,56,43,368,132,424,175
259285,30046_20190914161804.jpg,マミーマート船橋日大[地上],1098,袖ヶ浦,501.0,と,2019-09-14 16:17:28,2-1_all_corrected,68,53,318,156,386,209
259420,30110_20190914164947.jpg,イオン金沢八景,6752,横浜,303.0,ら,2019-09-14 16:49:22,2-1_all_corrected,70,56,203,70,273,126
258162,30072_20190914095355.jpg,関西スーパー京阪大和田１F,6699,大阪,504.0,せ,2019-09-14 09:53:24,2-1_all_corrected,51,44,519,199,570,243
258222,30072_20190914102041.jpg,関西スーパー京阪大和田１F,1286,大阪,501.0,ち,2019-09-14 10:19:39,2-1_all_corrected,102,80,53,342,155,422
260275,30145_20190914194826.jpg,イオン高根木戸,2713,習志野,583.0,け,2019-09-14 19:48:03,2-1_all_corrected,53,43,131,172,184,215
259767,30078_20190914180432.jpg,イオンスタイル仙台卸町店,7934,仙台,500.0,つ,2019-09-14 18:04:08,2-1_all_corrected,55,43,243,80,298,123
259131,30144_20190914154132.jpg,イオン幕張,9978,千葉,580.0,た,2019-09-14 15:41:06,2-1_all_corrected,49,37,144,93,193,130
258683,30111_20190914131721.jpg,イオン稲毛,1122,千葉,715.0,す,2019-09-14 13:14:03,2-1_all_corrected,56,42,386,118,442,160
259751,30078_20190914180138.jpg,イオンスタイル仙台卸町店,8814,仙台,580.0,の,2019-09-14 18:01:13,2-1_all_corrected,77,53,244,160,321,213
258677,30163_20190914131437.jpg,コープ葛飾白鳥店(地上),***8,足立,30.0,す,2019-09-14 13:14:07,2-1_all_corrected,53,44,226,94,279,138
259138,30144_20190914154308.jpg,イオン幕張,4859,千葉,330.0,つ,2019-09-14 15:42:35,2-1_all_corrected,47,39,128,80,175,119
259590,30111_20190914172321.jpg,イオン稲毛,*906,千葉,502.0,ち,2019-09-14 17:20:06,2-1_all_corrected,55,41,201,151,256,192
258670,30045_20190914131021.jpg,マックスバリュー徳川明倫,*358,名古屋,32.0,と,2019-09-14 13:09:51,2-1_all_corrected,56,43,305,160,361,203
258684,30060_20190914131738.jpg,関西スーパー小野原,8008,大阪,791.0,は,2019-09-14 13:17:11,2-1_all_corrected,38,32,107,207,145,239
259332,30014_20190914162650.jpg,フォルテ蘇我ベルク棟,**11,千葉,31.0,ひ,2019-09-14 16:26:20,2-1_all_corrected,54,46,274,100,328,146
260415,30167_20190914203620.jpg,イオン東雲店,1563,足立,330.0,ろ,2019-09-14 20:35:53,2-1_all_corrected,75,64,167,175,242,239
258489,30072_20190914120552.jpg,関西スーパー京阪大和田１F,***8,奈良,30.0,ひ,2019-09-14 12:05:21,2-1_all_corrected,52,40,358,82,410,122
258885,30136_20190914142002.jpg,イオンスタイル新百合ヶ丘,6476,川崎,500.0,ふ,2019-09-14 14:19:25,2-1_all_corrected,68,56,137,123,205,179
259392,30046_20190914164209.jpg,マミーマート船橋日大[地上],1213,千葉,537.0,る,2019-09-14 16:40:16,2-1_all_corrected,84,74,467,332,551,406
260210,30167_20190914192928.jpg,イオン東雲店,***1,相模,356.0,ひ,2019-09-14 19:28:56,2-1_all_corrected,60,44,324,313,384,357
260446,30078_20190914205840.jpg,イオンスタイル仙台卸町店,*914,仙台,330.0,む,2019-09-14 20:58:13,2-1_all_corrected,93,61,262,292,355,353
258882,30110_20190914141908.jpg,イオン金沢八景,2210,横浜,344.0,す,2019-09-14 14:18:43,2-1_all_corrected,45,29,338,69,383,98
258876,30060_20190914141724.jpg,関西スーパー小野原,8888,大阪,30.0,せ,2019-09-14 14:16:51,2-1_all_corrected,46,38,517,82,563,120
