id,画像名,物件名,車番,地域名,分類番号,ひらがな,入出庫日,カテゴリ,幅,高さ,左上x座標,左上y座標,右下x座標,右下y座標
172477,30066_20190815105438.jpg,ジョーシン和泉中央,***8,和泉,30,ま,2019/8/15 10:54,2-1_all_corrected,51,40,330,126,381,166
174317,30078_20190815182730.jpg,イオンスタイル仙台卸町店,8580,宮城,503,と,2019/8/15 18:26,2-1_all_corrected,56,42,343,101,399,143
172484,30045_20190815105649.jpg,マックスバリュー徳川明倫,*358,名古屋,32,と,2019/8/15 10:56,2-1_all_corrected,55,45,257,208,312,253
172470,30144_20190815105203.jpg,イオン幕張,*988,千葉,530,ち,2019/8/15 10:51,2-1_all_corrected,90,65,192,342,282,407
173168,30144_20190815161238.jpg,イオン幕張,2030,千葉,533,ね,2019/8/15 16:12,2-1_all_corrected,54,38,131,96,185,134
173953,30078_20190815180317.jpg,イオンスタイル仙台卸町店,4250,宮城,300,く,2019/8/15 18:02,2-1_all_corrected,95,62,356,366,451,428
174375,30144_20190815183205.jpg,イオン幕張,5555,千葉,314,あ,2019/8/15 18:31,2-1_all_corrected,41,32,202,33,243,65
172244,30060_20190815085756.jpg,関西スーパー小野原,8450,大阪,503,る,2019/8/15 8:57,2-1_all_corrected,98,78,501,225,599,303
173965,30078_20190815180410.jpg,イオンスタイル仙台卸町店,*844,仙台,330,な,2019/8/15 18:03,2-1_all_corrected,81,58,287,258,368,316
173192,30110_20190815162419.jpg,イオン金沢八景,6483,横浜,505,つ,2019/8/15 16:23,2-1_all_corrected,84,66,179,350,263,416
173353,30144_20190815164721.jpg,イオン幕張,6960,千葉,330,ね,2019/8/15 16:47,2-1_all_corrected,63,43,193,213,256,256
172281,30068_20190815093405.jpg,ケーヨーデイツー唐木田,***5,多摩,30,も,2019/8/15 9:33,2-1_all_corrected,55,43,414,207,469,250
173754,30085_20190815175222.jpg,業務スーパー南津守,***8,なにわ,30,つ,2019/8/15 17:51,2-1_all_corrected,74,58,254,321,328,379
172216,30072_20190815082928.jpg,関西スーパー京阪大和田１F,*762,京都,800,せ,2019/8/15 8:29,2-1_all_corrected,84,65,52,323,136,388
174316,30001_20190815182730.jpg,関西スーパー高石駅前,5769,和泉,480,け,2019/8/15 18:27,2-1_all_corrected,92,58,66,143,158,201
173557,30111_20190815173053.jpg,イオン稲毛,*201,千葉,335,さ,2019/8/15 17:30,2-1_all_corrected,70,51,330,151,400,202
174775,30144_20190815195954.jpg,イオン幕張,8358,千葉,331,と,2019/8/15 19:59,2-1_all_corrected,49,33,177,69,226,102
174781,30001_20190815200227.jpg,関西スーパー高石駅前,*310,和泉,333,る,2019/8/15 20:02,2-1_all_corrected,73,70,36,344,109,414
175208,30167_20190815211458.jpg,イオン東雲店,6990,足立,480,か,2019/8/15 21:14,2-1_all_corrected,86,68,111,327,197,395
173504,30144_20190815165804.jpg,イオン幕張,6558,千葉,580,ち,2019/8/15 16:57,2-1_all_corrected,86,63,203,325,289,388
173990,30078_20190815180547.jpg,イオンスタイル仙台卸町店,3654,仙台,380,つ,2019/8/15 18:05,2-1_all_corrected,74,55,318,158,392,213
173955,30078_20190815180323.jpg,イオンスタイル仙台卸町店,1907,仙台,580,つ,2019/8/15 18:02,2-1_all_corrected,73,53,323,167,396,220
175255,30111_20190815212201.jpg,イオン稲毛,1482,千葉,302,ね,2019/8/15 21:18,2-1_all_corrected,50,40,104,95,154,135
172559,30169_20190815113811.jpg,イオン相模原ショッピングセンター,1543,多摩,500,い,2019/8/15 11:37,2-1_all_corrected,89,77,357,310,446,387
172901,30103_20190815142041.jpg,八尾老原１丁目,***5,なにわ,30,ぬ,2019/8/15 14:20,2-1_all_corrected,73,56,237,206,310,262
172930,30144_20190815143241.jpg,イオン幕張,1004,袖ヶ浦,483,い,2019/8/15 14:32,2-1_all_corrected,85,62,375,388,460,450
172937,30144_20190815143444.jpg,イオン幕張,1007,千葉,349,に,2019/8/15 14:34,2-1_all_corrected,60,42,152,160,212,202
172339,30136_20190815095944.jpg,イオンスタイル新百合ヶ丘,8450,川崎,300,ほ,2019/8/15 9:58,2-1_all_corrected,51,38,306,130,357,168
172709,30144_20190815125128.jpg,イオン幕張,*903,千葉,534,ま,2019/8/15 12:51,2-1_all_corrected,55,40,196,123,251,163
173880,30144_20190815175850.jpg,イオン幕張,1028,千葉,586,ひ,2019/8/15 17:58,2-1_all_corrected,82,58,200,290,282,348
172738,30144_20190815130638.jpg,イオン幕張,3821,習志野,580,に,2019/8/15 13:06,2-1_all_corrected,51,47,115,197,166,244
172397,30072_20190815102010.jpg,関西スーパー京阪大和田１F,3010,京都,332,み,2019/8/15 10:19,2-1_all_corrected,82,61,39,153,121,214
172535,30111_20190815112020.jpg,イオン稲毛,5050,千葉,544,さ,2019/8/15 11:19,2-1_all_corrected,57,44,324,159,381,203
173084,30091_20190815152701.jpg,イトーヨーカドー木場 立体,4150,足立,502,の,2019/8/15 15:26,2-1_all_corrected,83,60,179,236,262,296
173626,30078_20190815174414.jpg,イオンスタイル仙台卸町店,9103,仙台,590,け,2019/8/15 17:43,2-1_all_corrected,69,55,190,130,259,185
172556,30145_20190815113356.jpg,イオン高根木戸,8000,習志野,588,ほ,2019/8/15 11:33,2-1_all_corrected,51,40,218,208,269,248
172764,30138_20190815131918.jpg,イオンスタイル湘南茅ヶ崎,2402,湘南,502,と,2019/8/15 13:18,2-1_all_corrected,58,44,206,105,264,149
174697,30110_20190815193833.jpg,イオン金沢八景,1188,横浜,540,て,2019/8/15 19:38,2-1_all_corrected,69,54,98,234,167,288
172752,30110_20190815131042.jpg,イオン金沢八景,6829,足立,502,と,2019/8/15 13:10,2-1_all_corrected,66,54,157,225,223,279
172594,30039_20190815115659.jpg,イトーヨーカドー大井町,9629,品川,480,こ,2019/8/15 11:56,2-1_all_corrected,67,65,172,229,239,294
173479,30103_20190815165412.jpg,八尾老原１丁目,***1,大阪,30,は,2019/8/15 16:53,2-1_all_corrected,101,72,408,334,509,406
174630,30144_20190815191254.jpg,イオン幕張,1173,千葉,547,て,2019/8/15 19:12,2-1_all_corrected,76,54,226,218,302,272
173243,30144_20190815163421.jpg,イオン幕張,*375,千葉,536,る,2019/8/15 16:33,2-1_all_corrected,44,31,178,81,222,112
173881,30078_20190815175850.jpg,イオンスタイル仙台卸町店,*428,仙台,583,よ,2019/8/15 17:58,2-1_all_corrected,71,56,252,119,323,175
173049,30051_20190815151312.jpg,スエヒロ館新百合ヶ丘,***7,横浜,30,の,2019/8/15 15:12,2-1_all_corrected,95,76,116,341,211,417
172362,30139_20190815100522.jpg,イオン板橋ショッピングセンター,***1,練馬,30,ね,2019/8/15 10:04,2-1_all_corrected,52,42,275,186,327,228
174637,30144_20190815191552.jpg,イオン幕張,7451,千葉,301,ぬ,2019/8/15 19:15,2-1_all_corrected,87,61,315,336,402,397
174601,30006_20190815190449.jpg,スギ薬局南千里,6786,大阪,504,せ,2019/8/15 19:04,2-1_all_corrected,108,59,259,203,367,262
173844,30144_20190815175655.jpg,イオン幕張,8933,千葉,580,そ,2019/8/15 17:56,2-1_all_corrected,78,58,332,278,410,336
173633,30078_20190815174440.jpg,イオンスタイル仙台卸町店,4659,宮城,500,ゆ,2019/8/15 17:44,2-1_all_corrected,72,55,204,131,276,186
173268,30144_20190815163612.jpg,イオン幕張,3131,習志野,301,む,2019/8/15 16:35,2-1_all_corrected,73,50,94,240,167,290
172520,30072_20190815111327.jpg,関西スーパー京阪大和田１F,6814,なにわ,800,あ,2019/8/15 11:12,2-1_all_corrected,69,58,215,183,284,241
174247,30078_20190815181821.jpg,イオンスタイル仙台卸町店,9408,仙台,500,す,2019/8/15 18:17,2-1_all_corrected,59,44,278,86,337,130
174615,30110_20190815190656.jpg,イオン金沢八景,1557,横浜,401,む,2019/8/15 19:06,2-1_all_corrected,49,43,392,92,441,135
174276,30078_20190815182215.jpg,イオンスタイル仙台卸町店,7887,仙台,332,す,2019/8/15 18:21,2-1_all_corrected,70,52,352,173,422,225
172976,30022_20190815144808.jpg,業務スーパー平野駅前,***8,大阪,30,も,2019/8/15 14:47,2-1_all_corrected,39,33,385,100,424,133
172748,30144_20190815130905.jpg,イオン幕張,6847,旭川,500,と,2019/8/15 13:08,2-1_all_corrected,74,50,255,186,329,236
173007,30110_20190815150030.jpg,イオン金沢八景,**46,横浜,341,す,2019/8/15 15:00,2-1_all_corrected,52,46,509,134,561,180
172783,30078_20190815132758.jpg,イオンスタイル仙台卸町店,1664,仙台,480,う,2019/8/15 13:27,2-1_all_corrected,78,54,208,211,286,265
174473,30169_20190815184443.jpg,イオン相模原ショッピングセンター,2560,相模,330,く,2019/8/15 18:44,2-1_all_corrected,52,41,201,252,253,293
174641,30079_20190815191647.jpg,ピットデザイン仙台卸町駅前駐車場,1933,仙台,580,ぬ,2019/8/15 19:16,2-1_all_corrected,85,74,245,364,330,438
174683,30169_20190815193243.jpg,イオン相模原ショッピングセンター,5339,多摩,71,な,2019/8/15 19:32,2-1_all_corrected,86,46,147,140,233,186
174677,30006_20190815192908.jpg,スギ薬局南千里,8931,大阪,300,ね,2019/8/15 19:28,2-1_all_corrected,115,69,176,187,291,256
174489,30001_20190815184627.jpg,関西スーパー高石駅前,3133,和泉,581,て,2019/8/15 18:46,2-1_all_corrected,98,67,126,382,224,449
174684,30132_20190815193300.jpg,イオンスタイル東神奈川,***8,横浜,30,に,2019/8/15 19:32,2-1_all_corrected,55,45,373,234,428,279
