id,画像名,画像の元パス,物件名,車番,地域名,分類番号,ひらがな,入出庫日,カテゴリ,幅,高さ,左上x座標,左上y座標,右下x座標,右下y座標
271229,30145_20190918161721.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271229/30145_20190918161721.jpg,イオン高根木戸,*438,習志野,580.0,な,2019/9/18 16:16,2-1_all_corrected,72,59,405,152,477,211
271024,30145_20190918144836.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271024/30145_20190918144836.jpg,イオン高根木戸,1118,習志野,344.0,な,2019/9/18 14:48,2-1_all_corrected,54,37,292,123,346,160
271447,30111_20190918173159.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271447/30111_20190918173159.jpg,イオン稲毛,4135,千葉,530.0,わ,2019/9/18 17:30,2-1_all_corrected,39,34,39,72,78,106
270561,30072_20190918103607.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270561/30072_20190918103607.jpg,関西スーパー京阪大和田１F,8506,大阪,302.0,も,2019/9/18 10:35,2-1_all_corrected,48,37,174,59,222,96
272004,30169_20190918184708.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272004/30169_20190918184708.jpg,イオン相模原ショッピングセンター,***5,多摩,30.0,な,2019/9/18 18:46,2-1_all_corrected,90,69,222,91,312,160
271681,30167_20190918180907.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271681/30167_20190918180907.jpg,イオン東雲店,8839,袖ヶ浦,580.0,む,2019/9/18 18:08,2-1_all_corrected,43,29,354,113,397,142
270930,30132_20190918135017.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270930/30132_20190918135017.jpg,イオンスタイル東神奈川,*821,横浜,589.0,は,2019/9/18 13:49,2-1_all_corrected,75,65,168,347,243,412
270568,30111_20190918103912.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270568/30111_20190918103912.jpg,イオン稲毛,8888,千葉,516.0,り,2019/9/18 10:38,2-1_all_corrected,63,60,302,197,365,257
271643,30139_20190918180448.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271643/30139_20190918180448.jpg,イオン板橋ショッピングセンター,8976,多摩,480.0,れ,2019/9/18 18:04,2-1_all_corrected,69,63,224,314,293,377
272200,30072_20190918190732.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272200/30072_20190918190732.jpg,関西スーパー京阪大和田１F,***1,大阪,421.0,つ,2019/9/18 19:06,2-1_all_corrected,74,58,59,163,133,221
270557,30111_20190918103326.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270557/30111_20190918103326.jpg,イオン稲毛,7025,千葉,581.0,そ,2019/9/18 10:32,2-1_all_corrected,54,43,304,139,358,182
271485,30144_20190918173910.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271485/30144_20190918173910.jpg,イオン幕張,1228,千葉,541.0,ね,2019/9/18 17:38,2-1_all_corrected,72,51,232,196,304,247
270765,30145_20190918121122.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270765/30145_20190918121122.jpg,イオン高根木戸,6587,習志野,500.0,ほ,2019/9/18 12:10,2-1_all_corrected,54,40,212,154,266,194
271811,30014_20190918182343.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271811/30014_20190918182343.jpg,フォルテ蘇我ベルク棟,***5,千葉,30.0,て,2019/9/18 18:23,2-1_all_corrected,51,46,292,15,343,61
272451,30110_20190918195301.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272451/30110_20190918195301.jpg,イオン金沢八景,*932,横浜,331.0,な,2019/9/18 19:52,2-1_all_corrected,67,54,272,212,339,266
270550,30111_20190918102922.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270550/30111_20190918102922.jpg,イオン稲毛,5627,千葉,330.0,の,2019/9/18 10:28,2-1_all_corrected,55,45,224,153,279,198
271476,30046_20190918173743.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271476/30046_20190918173743.jpg,マミーマート船橋日大[地上],5566,名古屋,531.0,め,2019/9/18 17:37,2-1_all_corrected,73,57,396,183,469,240
272061,30144_20190918185519.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272061/30144_20190918185519.jpg,イオン幕張,9250,名古屋,401.0,ね,2019/9/18 18:54,2-1_all_corrected,85,63,337,323,422,386
271422,30110_20190918172650.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271422/30110_20190918172650.jpg,イオン金沢八景,8375,横浜,501.0,ゆ,2019/9/18 17:26,2-1_all_corrected,69,57,153,279,222,336
271274,30078_20190918163510.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271274/30078_20190918163510.jpg,イオンスタイル仙台卸町店,*175,仙台,583.0,う,2019/9/18 16:34,2-1_all_corrected,66,61,193,122,259,183
270709,30139_20190918114816.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270709/30139_20190918114816.jpg,イオン板橋ショッピングセンター,1282,越谷,480.0,り,2019/9/18 11:47,2-1_all_corrected,72,63,289,304,361,367
271079,30111_20190918151231.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271079/30111_20190918151231.jpg,イオン稲毛,6366,千葉,503.0,せ,2019/9/18 15:10,2-1_all_corrected,57,46,207,166,264,212
271845,30078_20190918182714.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271845/30078_20190918182714.jpg,イオンスタイル仙台卸町店,6083,仙台,580.0,え,2019/9/18 18:26,2-1_all_corrected,74,49,220,121,294,170
272298,30043_20190918192343.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272298/30043_20190918192343.jpg,ファインシティ東松戸,4245,野田,300.0,う,2019/9/18 19:23,2-1_all_corrected,42,30,407,144,449,174
270731,30139_20190918115259.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270731/30139_20190918115259.jpg,イオン板橋ショッピングセンター,*275,川口,480.0,り,2019/9/18 11:52,2-1_all_corrected,69,58,233,255,302,313
270503,30145_20190918095717.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270503/30145_20190918095717.jpg,イオン高根木戸,3431,習志野,400.0,あ,2019/9/18 9:56,2-1_all_corrected,41,34,253,10,294,44
271628,30139_20190918180144.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271628/30139_20190918180144.jpg,イオン板橋ショッピングセンター,6105,練馬,480.0,れ,2019/9/18 18:01,2-1_all_corrected,90,70,273,360,363,430
270964,30111_20190918141920.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270964/30111_20190918141920.jpg,イオン稲毛,1510,千葉,583.0,も,2019/9/18 14:17,2-1_all_corrected,56,45,326,169,382,214
270397,30145_20190918080626.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270397/30145_20190918080626.jpg,イオン高根木戸,6618,習志野,501.0,ま,2019/9/18 8:06,2-1_all_corrected,70,64,480,235,550,299
271048,30145_20190918150008.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271048/30145_20190918150008.jpg,イオン高根木戸,*282,習志野,501.0,わ,2019/9/18 14:59,2-1_all_corrected,75,53,329,185,404,238
272057,30169_20190918185351.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272057/30169_20190918185351.jpg,イオン相模原ショッピングセンター,**66,多摩,335.0,ち,2019/9/18 18:53,2-1_all_corrected,54,44,183,115,237,159
272601,30139_20190918202529.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272601/30139_20190918202529.jpg,イオン板橋ショッピングセンター,1282,越谷,480.0,り,2019/9/18 20:25,2-1_all_corrected,72,67,293,355,365,422
270955,30167_20190918141147.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270955/30167_20190918141147.jpg,イオン東雲店,4260,品川,502.0,さ,2019/9/18 14:11,2-1_all_corrected,91,64,14,386,105,450
272837,30157_20190918220142.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272837/30157_20190918220142.jpg,関西スーパー中央,6390,神戸,504.0,さ,2019/9/18 22:01,2-1_all_corrected,49,41,112,351,161,392
271645,30111_20190918180502.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271645/30111_20190918180502.jpg,イオン稲毛,*740,千葉,502.0,な,2019/9/18 18:00,2-1_all_corrected,54,41,379,125,433,166
271817,30144_20190918182440.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271817/30144_20190918182440.jpg,イオン幕張,8710,福岡,530.0,と,2019/9/18 18:24,2-1_all_corrected,68,53,254,217,322,270
270907,30072_20190918133727.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270907/30072_20190918133727.jpg,関西スーパー京阪大和田１F,**43,なにわ,502.0,と,2019/9/18 13:37,2-1_all_corrected,64,63,195,158,259,221
272237,30144_20190918191430.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272237/30144_20190918191430.jpg,イオン幕張,4017,千葉,530.0,そ,2019/9/18 19:14,2-1_all_corrected,58,43,188,135,246,178
271025,30145_20190918144849.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271025/30145_20190918144849.jpg,イオン高根木戸,9216,習志野,583.0,あ,2019/9/18 14:48,2-1_all_corrected,71,57,401,281,472,338
271687,30078_20190918180954.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271687/30078_20190918180954.jpg,イオンスタイル仙台卸町店,8790,仙台,500.0,て,2019/9/18 18:09,2-1_all_corrected,78,57,314,184,392,241
272600,30139_20190918202521.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272600/30139_20190918202521.jpg,イオン板橋ショッピングセンター,6105,練馬,480.0,れ,2019/9/18 20:24,2-1_all_corrected,75,60,266,261,341,321
270706,30167_20190918114515.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270706/30167_20190918114515.jpg,イオン東雲店,4704,足立,481.0,り,2019/9/18 11:44,2-1_all_corrected,51,45,280,200,331,245
272051,30145_20190918185254.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272051/30145_20190918185254.jpg,イオン高根木戸,2322,習志野,530.0,ま,2019/9/18 18:52,2-1_all_corrected,92,77,153,246,245,323
272297,30085_20190918192335.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272297/30085_20190918192335.jpg,業務スーパー南津守,***8,なにわ,30.0,め,2019/9/18 19:23,2-1_all_corrected,46,40,284,208,330,248
271629,30078_20190918180158.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271629/30078_20190918180158.jpg,イオンスタイル仙台卸町店,*721,仙台,300.0,な,2019/9/18 18:01,2-1_all_corrected,79,59,381,249,460,308
271047,30111_20190918145932.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271047/30111_20190918145932.jpg,イオン稲毛,*333,千葉,517.0,ね,2019/9/18 14:58,2-1_all_corrected,54,38,339,179,393,217
272299,30169_20190918192352.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272299/30169_20190918192352.jpg,イオン相模原ショッピングセンター,7030,相模,563.0,そ,2019/9/18 19:23,2-1_all_corrected,58,42,103,107,161,149
270962,30169_20190918141440.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/270962/30169_20190918141440.jpg,イオン相模原ショッピングセンター,1010,多摩,368.0,つ,2019/9/18 14:14,2-1_all_corrected,53,43,356,91,409,134
272112,30169_20190918185738.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272112/30169_20190918185738.jpg,イオン相模原ショッピングセンター,1112,相模,583.0,も,2019/9/18 18:57,2-1_all_corrected,56,43,109,115,165,158
272320,30169_20190918192718.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272320/30169_20190918192718.jpg,イオン相模原ショッピングセンター,*248,多摩,500.0,ひ,2019/9/18 19:26,2-1_all_corrected,56,42,151,118,207,160
272788,30169_20190918213725.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/272788/30169_20190918213725.jpg,イオン相模原ショッピングセンター,*111,相模,514.0,せ,2019/9/18 21:36,2-1_all_corrected,70,55,324,54,394,109
271764,30110_20190918181802.jpg,../images/image_detail(0916-0930)/0918_image_detail/2-1_all_corrected/271764/30110_20190918181802.jpg,イオン金沢八景,*712,横浜,303.0,ら,2019/9/18 18:17,2-1_all_corrected,66,56,206,118,272,174
